282;"Madonna del Tresto";"Padova";"OSPEDALETTO EUGANEO  (PD )  - Tresto"
283;"Madonna della Catena";"Caltanissetta";"CALTANISSETTA  (CL )"
284;"Santa Maria delle Grazie";"Potenza-Muro Lucano-Marsico Nuovo";"GRUMENTO NOVA  (PZ )"
285;"Chiesa della Salute";"Padova";"ESTE  (PD )  - Quartiere della Salute"
286;"Madonna del Buon Riposo";"Caltanissetta";"CALASCIBETTA  (EN )  - Bonriposo"
287;"Madonna di Fatima";"Caltanissetta";"CALTANISSETTA  (CL )"
288;"Madonna di Laudata";"Melfi-Rapolla-Venosa";"ATELLA  (PZ )"
289;"Santa Maria del Principio";"Melfi-Rapolla-Venosa";"LAVELLO  (PZ )  - Cimitero."
290;"Madonna Addolorata";"Caltanissetta";"SERRADIFALCO  (CL )"
291;"Immacolata Concezione";"Caltanissetta";"CALTANISSETTA  (CL )"
292;"San Paolino da Nola";"Caltanissetta";"SUTERA  (CL )"
293;"Santissimo Crocifisso, Signore della Città";"Caltanissetta";"CALTANISSETTA  (CL )"
294;"Madonna di Montemauro";"Melfi-Rapolla-Venosa";"PESCOPAGANO  (PZ )"
295;"Madonna della Stella";"Lungro";"SAN COSTANTINO ALBANESE  (PZ )"
296;"San Calogero";"Agrigento";"AGRIGENTO  (AG )"
297;"Madonna del Soccorso";"Tursi-Lagonegro";"TRECCHINA  (PZ )"
298;"Maria Santissima del Monte";"Agrigento";"RACALMUTO  (AG )"
300;"Maria Santissima Madre della Misericordia";"Arcidiocesi Trani - Barletta - Bisceglie";"BISCEGLIE  (BA )"
301;"Santa Maria di Loreto";"Arcidiocesi Trani - Barletta - Bisceglie";"TRINITAPOLI  (FG )"
302;"Santa Maria delle Grazie";"Arcidiocesi Bari- Bitonto";"GRUMO APPULA  (BA )  - Mellitto"
303;"Madonna di Mezzagosto";"Latina Terracina Sezze Priverno";"PRIVERNO  (LT )"
304;"Santa Maria delle Grazie";"Padova";"ESTE  (PD )"
305;"Madonna di Taviele";"Arcidiocesi di Udine";"PAGNACCO  (UD )  - Plaino; loc. Taviele"
306;"Madonna di Muris";"Arcidiocesi di Udine";"PAVIA DI UDINE  (UD )  - Percoto; loc. Muris"
307;"Madonna Marcelliana di Monfalcone";"Arcidiocesi di Gorizia";"MONFALCONE  (GO )  - loc. Panzano"
308;"Madonna del Lussari";"Arcidiocesi di Udine";"TARVISIO  (UD )  - Camporosso"
310;"Madonna del Carmine";"Cosenza-Bisignano";"CAROLEI  (CS )  - centro storico"
311;"Rosa Mystica di Cormons";"Arcidiocesi di Gorizia";"CORMONS  (GO )"
312;"Santa Maria d'Anglona";"Tursi-Lagonegro";"TURSI  (MT )  - Anglona"
314;"S.Antonio da Padova";"Cosenza-Bisignano";"CASTIGLIONE COSENTINO  (CS )  - Via dei cappuccini 13"
316;"Madonna di Barbana";"Arcidiocesi di Gorizia";"GRADO  (GO )  - Isola di Barbana"
317;"Santa Maria del Preval";"Arcidiocesi di Gorizia";"MOSSA  (GO )  - loc. Preval"
318;"Madonna de";"Arcidiocesi di Udine";"VERZEGNIS  (UD )  - Duiebis; loc. Vovit"
320;"S.Maria di Monserrato";"Cosenza-Bisignano";"SCIGLIANO  (CS )  - Calvisi"
321;"Santa Fara";"Arcidiocesi di Bari-Bitonto";"BARI  (BA )"
322;"SS. Ecce Homo";"Cosenza-Bisignano";"DIPIGNANO  (CS )"
324;"Santo Oronzo fuori le mura";"Arcidiocesi di Lecce";"LECCE  (LE )"
325;"S.Ippolito martire";"Cosenza-Bisignano";"COSENZA  (CS )  - S.Ippolito"
326;"S.Maria delle Grazie";"Cosenza-Bisignano";"LAGO  (CS )"
327;"Madonna di Porto (in S. Stefano)";"Cosenza-Bisignano";"APRIGLIANO  (CS )  - S.Stefano"
328;"Maria Santissima Assunta";"Cerreto Sannita-Telese-Sant'Agata dei Goti";"GUARDIA SANFRAMONDI  (BN )"
329;"Santuario del Monte della Madonna";"Padova";"TEOLO  (PD )  - Teolo"
